Employee Identification;FirstName;LastName;Starting Day at the Company;Last Day at the Company;Company Internal Title;Employee Reports to;ADEmail;Company Department;Active or Inactive?;EmployeeType;PayZone;EmployeeClassificationType;TerminationType;TerminationDescription;DepartmentType;Division;DOB;State;JobFunctionDescription;GenderCode;LocationCode;MaritalDesc;Performance Score;Current Employee Rating;Annual Gross Fixed Salary (USD)
3 427;Uriah;Bridges;2019-09-20;;Production Technician I;Peter Oneill;uriah.bridges@bilearner.com;CCDR;Active;Contract;Zone C;Temporary;Unk;;Production       ;Fin & Acc;1969-10-07;MA;Accounting;Female;34 904;Widowed;Fully Meets;4;73322
3 428;Paula;Small;2023-02-11;;Production Technician I;Renee Mccormick;paula.small@bilearner.com;EW;Active;Contract;Zone A;Part-Time;Unk;;Production       ;Aerial;1965-08-30;MA;Labor;Male;6 593;Widowed;Fully Meets;3;69757
3 429;Edward;Buck;2018-12-10;;Area Sales Manager;Crystal Walker;edward.buck@bilearner.com;PL;Active;Full-Time;Zone B;Part-Time;Unk;;Sales;General - Sga;1991-10-06;MA;Assistant;Male;2 330;Widowed;Fully Meets;4;69420
3 430;Michael;Riordan;2021-06-21;;Area Sales Manager;Rebekah Wright;michael.riordan@bilearner.com;CCDR;Active;Contract;Zone A;Full-Time;Unk;;Sales;Finance & Accounting;1998-04-04;ND;Clerk;Male;58 782;Single;Fully Meets;2;73529
3 431;Jasmine;Onque;2019-06-29;;Area Sales Manager;Jason Kim;jasmine.onque@bilearner.com;TNS;Active;Contract;Zone A;Temporary;Unk;;Sales;General - Con;1969-08-29;FL;Laborer;Female;33 174;Married;Fully Meets;3;70789
3 432;Maruk;Fraval;2020-01-17;;Area Sales Manager;Sheri Campos;maruk.fraval@bilearner.com;BPC;Active;Contract;Zone B;Full-Time;Unk;;Sales;Field Operations;1949-04-03;CT;Driver;Male;6 050;Married;Fully Meets;3;53126
3 433;Latia;Costa;2022-04-06;2023-07-03;Area Sales Manager;Jacob Braun;latia.costa@bilearner.com;WBL;Active;Full-Time;Zone B;Temporary;Involuntary;Me see picture nature degree benefit.;Sales;General - Eng;1942-07-01;CA;Technician;Female;90 007;Divorced;Exceeds;4;72299
3 434;Sharlene;Terry;2020-11-06;2023-01-29;Area Sales Manager;Tracy Marquez;sharlene.terry@bilearner.com;CCDR;Active;Contract;Zone C;Full-Time;Involuntary;Blue community type skill story.;Sales;Engineers;1957-03-07;OR;Engineer;Female;97 756;Divorced;Fully Meets;2;106879
3 435;Jac;McKinzie;2018-08-18;;Area Sales Manager;Sharon Becker;jac.mckinzie@bilearner.com;NEL;Active;Contract;Zone B;Part-Time;Unk;;Sales;Executive;1974-05-15;TX;Executive Assistant;Male;78 789;Widowed;Exceeds;3;322877
3 436;Joseph;Martins;2022-01-21;2023-06-29;Area Sales Manager;George Jenkins;joseph.martins@bilearner.com;BPC;Active;Part-Time;Zone B;Temporary;Resignation;Summer personal bag.;Sales;Engineers;1949-11-11;TX;Engineer;Male;78 207;Widowed;Fully Meets;5;116937
